Freq[Hz]  Imp[Ohm] Phase[Deg]
339.028      6.49    25.98
343.959      6.53    26.31
348.962      6.57    26.63
354.038      6.61    26.94
359.188      6.65    27.23
364.412      6.69    27.55
369.713      6.73    27.88
375.090      6.77    28.20
380.546      6.81    28.51
386.081      6.85    28.84
391.697      6.90    29.14
397.394      6.94    29.43
403.175      6.99    29.72
409.039      7.03    30.02
414.989      7.08    30.31
421.025      7.13    30.59
427.149      7.18    30.86
433.362      7.22    31.14
439.665      7.27    31.42
446.060      7.31    31.71
452.548      7.37    31.99
459.131      7.42    32.26
465.809      7.47    32.52
472.584      7.53    32.76
479.458      7.58    33.01
486.432      7.62    33.27
493.507      7.68    33.55
500.686      7.73    33.83
507.968      7.79    34.10
515.357      7.85    34.36
522.853      7.91    34.59
530.458      7.97    34.81
538.174      8.03    35.03
546.002      8.09    35.25
553.943      8.15    35.46
562.001      8.22    35.66
570.175      8.28    35.85
578.469      8.34    36.04
586.883      8.39    36.23
595.419      8.46    36.43
604.080      8.51    36.62
612.866      8.58    36.80
621.780      8.63    37.00
630.824      8.69    37.21
640.000      8.76    37.41
649.309      8.82    37.62
658.753      8.88    37.82
668.335      8.95    38.02
678.056      9.01    38.22
687.919      9.07    38.43
697.925      9.15    38.65
708.077      9.21    38.87
718.376      9.29    39.08
728.825      9.37    39.26
739.426      9.45    39.40
750.181      9.52    39.55
761.093      9.60    39.70
772.163      9.67    39.82
783.394      9.74    39.97
794.789      9.82    40.10
806.349      9.89    40.20
818.078      9.95    40.32
829.977     10.03    40.45
842.050     10.09    40.57
854.298     10.15    40.70
866.724     10.21    40.86
879.330     10.28    41.01
892.120     10.33    41.16
905.097     10.38    41.36
918.262     10.42    41.61
931.618     10.46    41.93
945.169     10.51    42.39
958.917     10.58    42.93
972.864     10.70    43.45
987.015     10.84    43.88
1001.37     11.00    44.19
1015.94     11.16    44.36
1030.71     11.31    44.39
1045.71     11.43    44.40
1060.92     11.54    44.42
1076.35     11.65    44.45
1092.00     11.75    44.49
1107.89     11.85    44.56
1124.00     11.95    44.65
1140.35     12.05    44.74
1156.94     12.16    44.85
1173.77     12.28    44.93
1190.84     12.38    44.99
1208.16     12.49    45.06
1225.73     12.59    45.13
1243.56     12.70    45.20
1261.65     12.80    45.27
1280.00     12.91    45.37
1298.62     13.02    45.45
1317.51     13.13    45.53
1336.67     13.24    45.60
1356.11     13.34    45.69
1375.84     13.45    45.78
1395.85     13.57    45.86
1416.15     13.68    45.93
1436.75     13.79    46.01
1457.65     13.91    46.10
1478.85     14.03    46.16
1500.36     14.13    46.23
1522.19     14.24    46.33
1544.33     14.36    46.45
1566.79     14.48    46.55
1589.58     14.60    46.64
1612.70     14.72    46.73
1636.16     14.85    46.83
1659.95     14.97    46.93
1684.10     15.10    47.03
1708.60     15.23    47.15
1733.45     15.38    47.25
1758.66     15.53    47.31
1784.24     15.66    47.36
1810.19     15.79    47.42
1836.52     15.92    47.49
1863.24     16.06    47.56
1890.34     16.19    47.66
1917.83     16.35    47.76
1945.73     16.50    47.81
1974.03     16.65    47.84
2002.74     16.79    47.91
2031.87     16.94    47.97
2061.43     17.08    48.03
2091.41     17.23    48.11
2121.83     17.39    48.19
2152.69     17.56    48.24
2184.01     17.73    48.26
2215.77     17.89    48.27
2248.00     18.04    48.30
2280.70     18.19    48.33
2313.87     18.35    48.38
2347.53     18.50    48.45
2381.68     18.68    48.51
2416.32     18.86    48.55
2451.46     19.04    48.55
2487.12     19.20    48.55
2523.30     19.37    48.56
2560.00     19.53    48.59
2597.24     19.70    48.62
2635.01     19.86    48.68
2673.34     20.06    48.73
2712.23     20.25    48.75
2751.68     20.45    48.73
2791.70     20.62    48.71
2832.31     20.80    48.72
2873.50     20.97    48.74
2915.30     21.18    48.74
2957.70     21.36    48.71
3000.72     21.54    48.69
3044.37     21.70    48.68
3088.65     21.86    48.73
3133.58     22.04    48.82
3179.16     22.25    48.89
3225.40     22.47    48.94
3272.31     22.71    48.94
3319.91     22.94    48.89
3368.20     23.14    48.83
3417.19     23.34    48.77
3466.89     23.52    48.73
3517.32     23.69    48.74
3568.48     23.91    48.76
3620.39     24.11    48.76
3673.05     24.32    48.79
3726.47     24.54    48.81
3780.67     24.79    48.79
3835.67     25.00    48.76
3891.46     25.21    48.74
3948.06     25.42    48.75
4005.49     25.67    48.75
4063.75     25.91    48.73
4122.86     26.16    48.68
4182.82     26.38    48.61
4243.66     26.60    48.57
